Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq
ETER3,2.65,ON,09/04/2020,ETERNIT ON,1.91,Construção e Engenharia,7.3,Materiais de Construção,2034700.0,84201100.0,31/12/2019,188417000.0,31774000.0,3.52,-6.66,-0.4,3.52,-29.84,-0.09,-33.75,-1.64,14.0,31.84,0.17,-10.5,-37.79,0.15,-2.6,52.69,21.15,-9.4,-49.27,-0.27,-10.8,-30.38,0.0,448.2,-36.8,-5.75,1.02,-28.45,-3.67,-40.25,-16.6,0.9,545587000.0,-2822000.0
EVEN3,6.35,ON NM,09/04/2020,Even ON NM,5.31,Construção e Engenharia,19.21,Construção Civil,30264400.0,1377950000.0,31/12/2019,1852310000.0,217000000.0,2.42,11.56,0.55,3.93,0.83,7.69,-42.27,7.61,24.9,7.63,0.72,9.5,-59.19,0.28,7.5,159.33,0.62,3.6,4.53,3.1,4.6,55.14,0.0,7.1,-5.61,9.73,2.65,-17.3,10.23,0.84,-4.4,0.38,4983540000.0,1668620000.0
EZTC3,30.2,ON NM,09/04/2020,EZTec ON NM,19.97,Construção e Engenharia,60.16,Construção Civil,118198000.0,6855400000.0,31/12/2019,5590020000.0,227000000.0,-1.18,24.39,1.24,1.68,1.82,16.57,-22.16,48.72,40.8,39.56,8.52,17.5,-41.81,1.6,36.1,152.8,3.24,3.3,18.53,3.47,4.8,64.48,0.3,7.5,36.93,37.2,7.41,-32.66,39.73,0.01,-4.0,0.19,4275920000.0,3762040000.0
FESA4,13.79,PN,09/04/2020,FERBASA PN,10.39,Siderurgia e Metalurgia,23.11,Siderurgia,5491150.0,1217930000.0,31/12/2019,1537980000.0,88320000.0,-0.79,5.51,2.5,6.32,0.66,20.74,-7.45,10.38,20.2,-30.41,0.95,9.2,-31.08,0.44,17.3,3.64,2.78,4.3,6.08,-5.68,4.7,180.34,9.8,12.1,19.89,5.07,2.71,-1.63,13.1,0.27,8.9,0.47,2746440000.0,1832110000.0
FLRY3,21.55,ON NM,09/04/2020,FLEURY ON NM,18.14,Saúde,32.8,"Serviços Médico - Hospitalares, Análises e Diagnósticos",86269200.0,6826780000.0,31/12/2019,7578930000.0,316788000.0,-0.42,21.86,0.99,6.47,3.88,5.55,-20.21,12.02,30.6,-3.3,2.35,19.6,-27.69,1.34,10.8,61.88,9.25,11.1,-30.99,-3.69,13.8,68.91,4.3,17.8,137.94,8.53,1.99,0.0,13.34,0.88,11.6,0.57,5096650000.0,1758980000.0
GFSA3,3.7,ON,09/04/2020,GAFISA ON,2.8,Construção e Engenharia,10.15,Construção Civil,27311000.0,444000000.0,31/12/2019,760348000.0,120000000.0,5.71,-32.31,-0.11,-2.63,0.5,7.45,-23.08,9.11,29.4,-45.83,1.11,12.2,-57.32,0.17,-3.5,-42.92,0.81,1.9,-17.4,3.1,2.4,30.7,0.0,-1.5,-21.83,12.08,1.44,16.66,15.59,0.82,-29.1,0.16,2551890000.0,893708000.0
GGBR3,9.56,ON N1,09/04/2020,GERDAU S.A. ON N1,7.62,Siderurgia e Metalurgia,19.42,Siderurgia,1346710.0,16439900000.0,31/12/2019,26195200000.0,1719660000.0,-3.04,13.66,0.7,2.8,0.61,15.68,-19.05,5.93,10.6,-22.75,0.41,7.0,-44.02,0.3,3.1,43.06,1.52,5.1,21.3,-1.91,6.3,31.99,2.2,4.5,129.14,5.4,2.46,-56.71,9.45,0.6,0.1,0.73,54003000000.0,26955700000.0
GGBR4,10.7,PN N1,09/04/2020,GERDAU S.A. PN N1,8.64,Siderurgia e Metalurgia,22.23,Siderurgia,258775000.0,18400400000.0,31/12/2019,28155600000.0,1719660000.0,-3.17,15.29,0.7,6.47,0.68,15.68,-19.25,6.64,10.6,-30.35,0.46,7.0,-46.41,0.34,3.1,37.65,1.7,5.1,22.31,-2.14,6.3,15.23,2.0,4.5,132.73,5.81,2.46,-47.32,10.15,0.6,0.1,0.73,54003000000.0,26955700000.0
GOAU4,4.72,PN N1,09/04/2020,METALÚRGICA GERDAU PN N1,3.84,Siderurgia e Metalurgia,10.82,Siderurgia,117819000.0,5131790000.0,31/12/2019,14887000000.0,1087240000.0,-3.48,12.07,0.39,1.51,0.51,9.21,-24.48,1.86,10.6,-35.01,0.13,7.0,-49.01,0.09,3.0,36.67,0.47,5.1,23.23,-0.6,6.3,20.83,2.4,4.2,192.3,3.08,2.46,-84.45,5.38,1.6,0.1,0.73,54048700000.0,10014100000.0
GOLL4,11.63,PN,09/04/2020,GOL LINHAS AEREAS INTELIGENTES SA PN,5.6,Transporte,43.79,Transporte Aéreo,176687000.0,4134490000.0,31/12/2019,9945140000.0,355502000.0,-3.0,-35.26,-0.33,2.29,-0.54,-21.59,-33.08,2.28,29.3,-50.93,0.3,13.1,-68.4,0.27,1.3,46.61,-0.76,11.9,71.92,-0.24,15.9,216.02,0.0,1.5,83.33,2.81,0.48,-83.19,5.48,-1.1,8.8,0.91,15298400000.0,-7676670000.0
GRND3,7.22,ON,09/04/2020,GRENDENE SA ON,6.77,"Tecidos, Vestuário e Calçados",12.91,Calçados,17812400.0,6513600000.0,31/12/2019,5356350000.0,902160000.0,-4.37,13.16,0.55,-4.12,1.77,4.08,-18.88,19.98,45.6,-8.72,3.15,15.7,-41.21,1.6,23.9,55.25,2.76,8.0,-10.11,2.87,12.1,69.88,4.4,13.4,10.21,13.34,8.91,18.99,16.43,0.05,0.1,0.51,4064450000.0,3682440000.0
GUAR3,12.04,ON,09/04/2020,GUARARAPES CONFECÇÕES ON,9.9,Comércio,30.45,"Tecidos, Vestuário e Calçados",25254300.0,6010370000.0,31/12/2019,7266370000.0,499200000.0,-3.06,10.14,1.19,10.36,1.15,10.47,-45.27,9.81,63.1,-26.76,0.77,7.8,-49.4,0.48,7.6,20.1,1.93,4.9,11.26,45.77,5.9,149.45,4.5,11.3,35.19,6.46,1.71,-41.95,11.86,0.54,9.3,0.62,12602500000.0,5224590000.0
HAPV3,48.86,ON NM,09/04/2020,HAPVIDA ON NM,27.77,Saúde,69.11,"Serviços Médico - Hospitalares, Análises e Diagnósticos",176182000.0,36302300000.0,31/12/2019,37009600000.0,742986000.0,-2.26,42.72,1.14,15.24,5.0,9.77,8.29,34.97,39.6,75.61,6.44,18.4,-23.38,2.91,15.1,106.4,87.29,8.3,8.71,-11.98,9.5,0.0,0.8,11.7,0.0,29.89,1.24,0.0,35.65,0.29,21.0,0.45,12453700000.0,7259600000.0
HBOR3,1.67,ON,09/04/2020,Helbor ON,1.15,Construção e Engenharia,4.96,Construção Civil,29035800.0,1117660000.0,31/12/2019,2038590000.0,669255000.0,3.73,-10.73,-0.16,-11.17,0.89,1.87,-38.6,-23.51,11.7,25.56,0.87,-3.7,-63.3,0.24,-8.1,201.33,0.5,-1.0,-22.96,2.4,-1.2,32.43,0.0,-8.3,5.71,-53.03,2.75,-61.33,-42.88,1.2,-3.7,0.28,4627980000.0,1250700000.0
HYPE3,31.46,ON,09/04/2020,HYPERA ON,24.16,Comércio,41.45,Produtos Diversos,154597000.0,19890200000.0,31/12/2019,19046400000.0,632238000.0,-2.05,17.09,1.84,10.04,2.28,13.78,-10.67,41.89,63.3,27.16,6.04,14.4,-11.14,1.67,35.3,21.77,6.3,4.0,-11.93,13.03,5.1,47.73,4.3,13.4,22.45,32.0,3.0,33.98,40.11,0.16,3.5,0.28,11919500000.0,8710100000.0
IGTA3,30.71,ON NM,09/04/2020,IGUATEMI ON NM,26.97,Exploração de Imóveis,56.86,Exploração de Imóveis,73344100.0,5423750000.0,31/12/2019,6832980000.0,176612000.0,-4.03,17.49,1.76,-1.73,1.82,16.92,-26.88,13.36,66.6,-15.72,7.19,53.8,-41.72,0.96,41.7,30.04,6.18,7.2,7.59,-3.64,8.7,50.76,2.8,10.4,42.91,12.79,4.33,-20.15,16.83,0.8,4.3,0.13,5628890000.0,2987730000.0
PARD3,19.5,ON NM,09/04/2020,IHPARDINI ON NM,14.86,Saúde,32.41,"Serviços Médico - Hospitalares, Análises e Diagnósticos",12499000.0,2554090000.0,31/12/2019,2655840000.0,130979000.0,2.63,16.15,1.21,1.46,3.67,5.31,-20.91,11.16,30.1,-9.75,1.89,16.9,-28.12,1.57,11.7,48.42,13.96,14.1,-43.15,-6.19,16.8,71.69,2.3,22.7,0.0,8.26,1.55,0.0,11.61,0.33,13.9,0.83,1625790000.0,695227000.0
MEAL3,2.64,ON NM,09/04/2020,IMC S/A ON NM,2.44,Hoteis e Restaurantes,9.5,Restaurante e Similares,12844400.0,517229000.0,31/12/2019,746095000.0,195920000.0,0.76,-32.65,-0.08,-3.65,0.45,5.84,-59.32,19.56,32.0,-61.52,0.32,1.6,-68.57,0.19,-1.0,30.23,8.44,1.0,-18.35,-0.53,1.2,79.95,0.4,-1.4,22.63,6.91,1.12,-38.59,28.21,0.49,0.1,0.6,2685650000.0,1145110000.0
ROMI3,8.9,ON,09/04/2020,ROMI ON,7.01,Máquinas e Equipamentos,17.54,Máqs. e Equips. Industriais,3539370.0,559436000.0,31/12/2019,760424000.0,62858000.0,4.22,4.31,2.06,11.67,0.74,12.05,-25.41,22.23,27.3,-2.39,0.73,3.3,-46.24,0.41,17.0,124.14,1.53,1.8,17.66,3.68,2.2,203.61,12.9,17.1,52.06,12.95,1.92,-39.67,30.22,0.46,7.3,0.56,1367240000.0,757284000.0
GNDI3,52.15,ON NM,09/04/2020,INTERMEDICA ON NM,32.36,Saúde,76.07,"Serviços Médico - Hospitalares, Análises e Diagnósticos",305018000.0,31482600000.0,31/12/2019,28861000000.0,603693000.0,3.82,74.32,0.7,15.99,4.94,10.55,2.6,33.47,27.4,60.76,3.74,11.2,-23.33,2.39,5.0,135.75,8.89,7.2,43.6,-39.14,11.5,0.0,0.3,6.6,0.0,24.33,2.45,0.0,30.68,0.34,25.9,0.64,13148000000.0,6370400000.0
MYPK3,11.2,ON,09/04/2020,IOCHPE-MAXION ON,9.8,Material de Transporte,23.63,Material Rodoviário,39038600.0,1721660000.0,31/12/2019,4137110000.0,153720000.0,-2.61,5.1,2.2,1.63,0.53,21.0,-13.31,2.74,11.8,-42.57,0.17,6.3,-49.94,0.18,4.2,-1.1,2.22,6.7,7.7,-0.68,8.3,101.75,7.6,10.5,-2.94,3.94,1.3,6.15,6.57,0.95,11.7,1.07,9375410000.0,3228480000.0
ITSA3,10.71,ON N1,09/04/2020,ITAÚSA ON N1,9.29,Financeiros,13.79,Bancos,3755750.0,90079800000.0,31/12/2019,90652800000.0,8410810000.0,-0.83,8.74,1.23,7.64,1.63,6.57,-11.49,481.71,25.8,-16.41,17.99,3.7,-21.29,1.33,211.0,14.23,23.67,0.3,49.45,-32.9,0.3,38.09,8.1,18.7,36.38,99.29,2.48,-14.14,484.77,0.08,1.9,0.07,67476000000.0,55232000000.0
ITSA4,9.24,PN N1,09/04/2020,ITAÚSA PN N1,7.53,Financeiros,13.88,Bancos,390467000.0,77715900000.0,31/12/2019,78288900000.0,8410810000.0,-0.86,7.54,1.23,5.36,1.41,6.57,-14.68,415.59,25.8,-17.02,15.52,3.7,-32.21,1.15,211.0,27.4,20.42,0.3,32.62,-28.38,0.3,37.62,9.4,18.7,39.31,85.75,2.48,-12.65,418.66,0.08,1.9,0.07,67476000000.0,55232000000.0
JBSS3,19.0,ON NM,09/04/2020,JBS ON NM,16.75,Alimentos,33.2,Carnes e Derivados,448582000.0,51846200000.0,31/12/2019,94840300000.0,2728750000.0,-1.86,8.54,2.22,-6.59,1.75,10.86,5.56,3.94,15.6,12.43,0.25,6.4,-26.36,0.41,3.2,122.61,3.85,10.4,18.75,-1.0,13.3,-13.63,0.0,20.5,-3.25,4.87,1.47,17.98,7.2,1.79,5.3,1.62,126339000000.0,29637000000.0
JPSA3,21.79,ON,09/04/2020,JEREISSATI PARTICIPACOES ON,18.5,Telefonia Fixa,40.7,Telefonia Fixa,10053000.0,1915100000.0,31/12/2019,3383550000.0,87889000.0,-3.16,14.88,1.46,6.45,1.25,17.49,-29.98,5.02,66.6,-7.83,2.54,50.5,-42.35,0.33,37.8,68.6,2.15,6.6,18.94,-1.23,8.1,175.59,1.8,8.4,-6.43,6.64,4.16,-31.3,8.86,1.6,4.3,0.13,5748050000.0,1537450000.0
JHSF3,3.64,ON NM,09/04/2020,JHSF Part ON NM,2.14,Construção e Engenharia,8.95,Construção Civil,46093200.0,2334120000.0,31/12/2019,3003360000.0,641242000.0,-2.15,7.24,0.5,4.0,0.77,4.7,-27.05,13.94,48.7,47.92,3.67,26.3,-48.95,0.4,51.3,294.25,4.66,2.9,9.58,-1.26,3.2,23.7,1.9,10.7,11.57,15.63,2.16,-43.19,17.94,0.4,2.6,0.11,5837930000.0,3014130000.0
JSLG3,15.72,ON NM,09/04/2020,JULIO SIMOES ON NM,9.79,Transporte,36.34,Transporte Rodoviário,29257700.0,3251540000.0,31/12/2019,11958600000.0,206841000.0,2.14,14.39,1.09,21.39,2.41,6.51,-26.4,2.8,21.3,45.01,0.34,12.0,-40.96,0.16,3.3,291.38,0.77,5.7,-15.45,-0.36,9.2,-8.17,1.2,16.8,42.79,5.75,1.9,-41.29,10.29,10.77,12.1,0.48,20268200000.0,1347040000.0
KEPL3,24.9,ON,09/04/2020,KEPLER WEBER SA ON,17.6,Máquinas e Equipamentos,30.75,Máqs. e Equips. Industriais,3405650.0,655169000.0,31/12/2019,618907000.0,26312000.0,3.75,17.44,1.43,2.47,1.4,17.76,-8.46,11.14,24.9,35.18,1.12,10.1,-15.45,0.97,6.4,99.66,5.19,8.7,-23.61,6.93,10.8,8.48,1.0,8.0,11.95,6.9,1.71,-65.14,10.52,0.09,-1.9,0.86,676102000.0,467384000.0
KLBN3,3.34,ON N2,09/04/2020,KLABIN ON N2,2.58,Madeira e Papel,4.65,Papel e Celulose,1611880.0,18068700000.0,31/12/2019,32423100000.0,5409800000.0,-1.76,26.74,0.12,0.91,2.99,1.12,-15.23,9.46,33.3,-29.67,1.76,18.6,-21.52,0.52,7.0,1.0,1.71,5.5,-10.34,-1.24,8.0,-14.13,5.2,11.2,-27.65,7.9,4.4,150.17,16.98,3.98,16.5,0.3,34703100000.0,6046880000.0
KLBN4,3.17,PN N2,09/04/2020,KLABIN PN N2,2.55,Madeira e Papel,4.39,Papel e Celulose,7768070.0,17149100000.0,31/12/2019,31503400000.0,5409800000.0,-1.86,25.38,0.12,-1.55,2.84,1.12,-18.72,8.98,33.3,11.54,1.67,18.6,-10.62,0.49,7.0,31.67,1.62,5.5,-3.89,-1.18,8.0,14.12,5.4,11.2,-22.01,7.68,4.4,40.09,16.5,3.98,16.5,0.3,34703100000.0,6046880000.0
KLBN11,16.0,UNT N2,09/04/2020,KLABIN UNT N2,12.81,Madeira e Papel,22.06,Papel e Celulose,154771000.0,17311400000.0,31/12/2019,31665700000.0,5409800000.0,-1.48,25.62,0.62,0.06,2.86,5.59,-18.33,9.07,33.3,-0.59,1.69,18.6,-13.0,0.5,7.0,21.76,1.64,5.5,-4.93,-1.19,8.0,2.89,5.4,11.2,-22.24,7.72,4.4,67.64,16.58,3.98,16.5,0.3,34703100000.0,6046880000.0
LLIS3,5.75,ON,09/04/2020,LE LIS BLANC DEUX ON,3.86,Comércio,30.19,"Tecidos, Vestuário e Calçados",1575610.0,395893000.0,31/12/2019,1399710000.0,68851000.0,1.95,-2.05,-2.8,-2.71,0.17,33.15,-54.0,-2.01,47.5,-79.71,0.41,-20.7,-66.18,0.09,-20.2,-35.53,-2.59,-4.6,-12.16,-0.39,-5.7,46.94,6.2,-8.5,70.82,-50.15,0.87,-74.48,-7.1,0.65,-3.3,0.22,4284090000.0,2282310000.0
LIGT3,10.6,ON,09/04/2020,LIGHT SA ON,7.3,Energia Elétrica,24.51,Energia Elétrica,62286200.0,3221700000.0,31/12/2019,10310200000.0,303934000.0,3.41,2.43,4.37,9.84,0.52,20.5,-44.21,2.34,25.0,-48.37,0.24,10.3,-55.39,0.14,9.9,45.32,18.24,5.8,-0.3,-0.26,7.0,-3.87,1.2,21.3,76.24,5.26,1.03,-38.62,7.5,1.41,7.0,0.56,23843800000.0,6230540000.0
LINX3,22.47,ON NM,09/04/2020,LINX ON NM,16.65,Programas e Serviços,38.38,Programas e Serviços,48497700.0,4256020000.0,31/12/2019,3614100000.0,189409000.0,-0.88,109.48,0.21,34.96,2.38,9.45,-13.58,28.11,65.5,-39.37,5.4,19.2,-36.56,1.66,4.9,9.15,4.58,5.9,53.86,8.09,9.7,24.94,0.6,2.2,18.62,13.33,3.51,-12.7,23.87,0.19,15.6,0.31,2563940000.0,1789840000.0
RENT3,30.15,ON,09/04/2020,LOCALIZA RENT A CAR ON,23.31,Diversos,55.4,Aluguel de Carros,379650000.0,22867800000.0,31/12/2019,29416300000.0,758467000.0,-5.49,27.42,1.1,14.64,4.2,7.18,-24.09,15.07,24.6,4.29,2.24,14.9,-36.27,1.18,8.2,68.75,23.53,7.8,36.13,-2.42,10.8,105.4,1.3,15.3,41.42,13.13,1.28,-28.48,19.38,1.72,28.2,0.53,19393000000.0,5447530000.0
LCAM3,12.33,ON NM,09/04/2020,LOCAMERICA ON NM,8.21,Diversos,25.49,Aluguel de Carros,86634200.0,6272630000.0,31/12/2019,8931800000.0,508729000.0,-1.99,18.55,0.66,18.52,1.61,7.67,-24.88,7.86,27.5,2.29,1.31,16.6,-45.1,0.57,7.0,84.33,7.43,7.2,101.64,-1.56,11.2,230.27,2.7,8.7,96.79,7.04,1.37,-8.73,11.19,1.2,67.8,0.43,11048000000.0,3904410000.0
LWSA3,19.96,ON NM,09/04/2020,LOCAWEB ON NM,10.2,Programas e Serviços,25.5,Programas e Serviços,26382200.0,2498430000.0,31/12/2019,2652300000.0,125172000.0,5.0,138.26,0.14,10.89,28.28,0.71,14.06,53.46,41.8,-3.11,6.48,12.1,-3.11,4.86,4.7,0.0,-40.48,9.1,0.0,-10.02,10.0,0.0,0.0,20.5,0.0,26.35,0.74,0.0,56.76,2.11,22.5,0.75,514013000.0,88333000.0
LOGG3,20.81,ON NM,09/04/2020,LOG COM PROP ON NM,15.54,Exploração de Imóveis,34.4,Exploração de Imóveis,13826900.0,2125930000.0,31/12/2019,2508350000.0,102159000.0,-1.56,23.57,0.88,-4.98,0.72,28.77,-6.68,21.29,98.3,15.23,16.6,78.0,-35.89,0.53,72.9,81.44,2.87,2.5,2.99,-13.09,2.9,0.0,0.5,3.1,0.0,24.93,6.69,0.0,25.11,0.3,7.5,0.03,3988730000.0,2938960000.0
LOGN3,12.93,ON NM,09/04/2020,Log-In ON NM,8.1,Transporte,25.7,Transporte Hidroviário,29469200.0,1347300000.0,31/12/2019,1940410000.0,104199000.0,5.64,121.06,0.11,-9.33,4.25,3.04,-16.31,12.38,18.8,42.87,1.28,10.3,-38.13,0.7,1.1,167.95,2.32,5.7,155.74,-1.97,9.7,36.16,0.0,3.5,-57.58,9.35,2.76,-60.95,17.83,3.96,2.1,0.55,1912080000.0,316927000.0
LAME3,16.97,ON,09/04/2020,LOJAS AMERICANAS S.A. ON,11.79,Comércio,24.62,Produtos Diversos,30043100.0,27505800000.0,31/12/2019,34727700000.0,1620850000.0,-2.13,39.07,0.43,17.44,5.32,3.19,-6.19,12.0,36.4,36.71,1.45,12.1,-13.81,0.83,3.1,33.11,3.29,6.9,15.09,-3.94,13.8,5.15,1.1,13.6,20.85,9.47,1.79,-5.42,15.14,3.45,0.9,0.57,33269000000.0,5167630000.0
LAME4,21.3,PN,09/04/2020,LOJAS AMERICANAS S.A. PN,14.45,Comércio,29.06,Produtos Diversos,210933000.0,34524100000.0,31/12/2019,41746000000.0,1620850000.0,-2.7,49.04,0.43,18.33,6.68,3.19,-2.78,15.06,36.4,36.98,1.82,12.1,-17.79,1.04,3.1,33.14,4.13,6.9,15.97,-4.95,13.8,0.48,0.8,13.6,5.63,11.39,1.79,14.9,18.21,3.45,0.9,0.57,33269000000.0,5167630000.0
AMAR3,5.22,ON NM,09/04/2020,LOJAS MARISA ON NM,3.75,Comércio,15.28,"Tecidos, Vestuário e Calçados",43791900.0,1365900000.0,31/12/2019,2159910000.0,261667000.0,9.89,-12.16,-0.43,13.48,0.96,5.43,-50.33,3.47,46.2,-26.38,0.47,13.7,-60.69,0.34,-3.9,155.88,1.65,9.8,-28.41,-6.08,14.3,21.64,0.0,-7.9,22.89,2.99,1.54,-63.23,5.48,1.07,-2.2,0.72,4020070000.0,1420010000.0
LREN3,36.58,ON,09/04/2020,RENNER ON,30.0,Comércio,60.76,"Tecidos, Vestuário e Calçados",395638000.0,29101500000.0,31/12/2019,29374200000.0,795558000.0,-3.1,26.48,1.38,9.0,6.19,5.91,-20.34,11.93,61.1,-4.31,3.04,25.4,-34.78,2.47,11.5,47.5,15.42,20.7,20.89,-67.53,26.1,70.91,1.5,23.4,38.28,9.27,1.4,13.91,12.04,0.35,12.3,0.81,11791700000.0,4704610000.0
LPSB3,3.62,ON NM,09/04/2020,LOPES BRASIL ON NM,3.05,Construção e Engenharia,10.27,Intermediação Imobiliária,5414360.0,534148000.0,31/12/2019,388029000.0,147555000.0,-3.72,-124.74,-0.03,1.97,2.99,1.21,-27.6,26.63,83.7,-22.65,3.62,13.6,-62.01,1.32,-1.9,50.79,4.29,4.9,13.06,-15.22,8.2,43.33,0.0,-2.4,74.11,9.46,2.83,-64.16,19.34,0.05,-9.1,0.36,405272000.0,178592000.0
MDIA3,30.65,ON NM,09/04/2020,M.DIASBRANCO ON NM,26.78,Alimentos,45.0,Alimentos Diversos,58347000.0,10390300000.0,31/12/2019,11005300000.0,339000000.0,-2.01,18.66,1.64,5.33,1.72,17.8,-17.83,19.45,35.4,-27.39,1.7,8.8,-19.21,1.28,9.1,-10.86,8.89,6.6,-17.18,40.63,7.0,37.26,0.8,9.2,75.03,14.34,2.01,-23.99,20.61,0.16,7.0,0.75,8101030000.0,6034950000.0
MGLU3,41.65,ON NM,09/04/2020,MAGAZ LUIZA ON NM,19.94,Comércio,58.85,Eletrodomésticos,789875000.0,67670100000.0,31/12/2019,63765000000.0,1624730000.0,-0.74,73.41,0.57,6.82,8.95,4.66,3.2,73.45,27.9,101.23,3.4,4.6,-12.63,3.42,4.6,112.19,13.99,4.7,126.39,110.03,10.1,509.21,0.4,12.2,503.78,45.28,1.6,-69.67,69.21,0.11,23.2,1.0,19791100000.0,7564940000.0
POMO4,2.43,PN N2,09/04/2020,MARCOPOLO PN N2,2.15,Material de Transporte,5.49,Material Rodoviário,31894000.0,2300950000.0,31/12/2019,2929540000.0,946893000.0,-2.41,11.43,0.21,-1.62,1.0,2.44,-43.08,9.56,15.1,-32.31,0.53,5.6,-44.95,0.44,4.9,11.94,1.74,4.6,5.24,-49056.6,6.6,45.8,5.5,8.7,55.03,8.96,1.87,-37.87,12.18,0.78,15.0,0.83,5193680000.0,2310080000.0
MRFG3,8.86,ON NM,09/04/2020,Marfrig ON NM,6.29,Alimentos,13.99,Carnes e Derivados,192842000.0,6302740000.0,31/12/2019,20132700000.0,711370000.0,-1.01,28.9,0.31,0.11,10.19,0.87,3.38,1.76,13.1,30.87,0.13,7.3,-11.04,0.2,3.2,82.42,1.66,11.3,-25.41,-0.41,17.6,10.74,0.0,35.3,4.09,4.22,1.36,12.19,5.63,35.95,26.2,1.54,31572000000.0,618565000.0
LEVE3,17.0,ON,09/04/2020,MAHLE METAL LEVE ON,15.1,Material de Transporte,32.77,Material Rodoviário,10460500.0,2181240000.0,31/12/2019,2431530000.0,128308000.0,-1.96,8.42,2.02,-3.08,1.67,10.16,-28.12,5.6,25.3,-23.18,0.86,15.4,-40.81,0.94,10.1,24.46,4.28,16.7,12.66,33.0,19.4,17.98,12.6,19.9,-14.19,5.02,1.87,26.34,6.25,0.32,2.3,1.09,2327650000.0,1303550000.0
MILS3,4.71,ON NM,09/04/2020,MILLS ON NM,3.36,Construção e Engenharia,10.85,Construção Civil,11777500.0,1186290000.0,31/12/2019,1211590000.0,251866000.0,1.51,-26.37,-0.18,22.02,1.07,4.4,-30.94,-37.66,35.7,-2.08,2.7,-7.2,-54.93,0.86,-10.2,144.16,9.0,-2.3,3.88,31.65,-2.6,5.37,0.0,-4.1,46.99,9.27,1.76,-71.73,-38.46,0.14,-7.8,0.32,1375900000.0,1107370000.0
BEEF3,8.63,ON NM,09/04/2020,Minerva ON NM,6.6,Alimentos,15.65,Carnes e Derivados,77868500.0,4190560000.0,31/12/2019,10198600000.0,485580000.0,-0.92,259.37,0.03,8.55,-14.88,-0.58,1.05,2.86,19.2,15.84,0.24,8.6,-32.79,0.32,0.1,157.32,1.59,11.1,-53.15,-0.8,19.8,-9.9,0.0,-5.7,-8.58,5.89,1.47,40.24,6.95,-37.2,18.4,1.29,13233700000.0,-281662000.0
MTRE3,10.9,ON NM,09/04/2020,MITRE REALTY ON NM,9.55,Construção e Engenharia,20.8,Construção Civil,17042600.0,1152950000.0,31/12/2019,1240400000.0,105775000.0,5.93,36.09,0.3,-0.91,18.22,0.6,-9.77,24.74,31.8,-47.6,3.7,14.9,-47.6,2.91,10.3,0.0,14.62,11.8,0.0,-37.65,13.3,0.0,0.0,50.5,0.0,25.76,1.35,0.0,26.61,1.93,107.6,0.79,396035000.0,63281000.0
MDNE3,6.43,ON NM,09/04/2020,MOURA DUBEUX ON NM,4.31,Construção e Engenharia,18.5,Construção Civil,18171800.0,545965000.0,31/12/2019,1658040000.0,84909000.0,7.17,-5.67,-1.13,4.05,6.7,0.96,-49.77,6.43,39.7,-65.24,1.34,20.8,-65.24,0.24,-24.3,0.0,-12.57,3.8,0.0,-0.56,3.9,0.0,0.0,-118.3,0.0,18.86,0.96,0.0,19.51,14.02,-18.4,0.18,2242400000.0,81438000.0
MOVI3,9.86,ON NM,09/04/2020,MOVIDA ON NM,7.71,Diversos,22.49,Aluguel de Carros,51623400.0,2947360000.0,31/12/2019,5044440000.0,298921000.0,1.54,12.94,0.76,21.88,1.28,7.7,-29.06,5.86,24.5,-7.68,0.77,13.1,-48.14,0.41,5.9,125.74,-10.16,6.9,27.18,-0.98,10.5,-3.34,3.7,9.9,0.0,6.49,0.87,0.0,10.03,1.37,29.6,0.53,7242820000.0,2301000000.0
