Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq
MRVE3,13.36,ON NM,09/04/2020,MRV ON NM,10.28,Construção e Engenharia,22.35,Construção Civil,106554000.0,6438910000.0,31/12/2019,8966140000.0,481954000.0,3.49,9.33,1.43,9.15,1.33,10.05,-12.96,7.17,30.4,3.09,1.06,14.8,-38.0,0.44,12.3,85.62,1.29,6.1,6.12,-3.62,6.6,43.57,7.7,14.3,29.81,9.1,2.78,20.53,9.98,0.66,7.5,0.41,14686300000.0,4841770000.0
MULT3,19.56,ON N2,09/04/2020,Multiplan ON N2,17.2,Exploração de Imóveis,35.52,Exploração de Imóveis,160113000.0,11750900000.0,31/12/2019,13946400000.0,600761000.0,-3.02,24.95,0.78,2.52,2.1,9.3,-27.26,15.04,79.2,-13.31,9.0,59.8,-40.68,1.23,35.9,38.09,30.08,8.2,4.35,-4.41,9.2,21.86,2.4,8.4,57.35,13.92,1.42,-12.04,17.85,0.56,5.2,0.14,9576750000.0,5587670000.0
NEOE3,17.2,ON NM,09/04/2020,NEOENERGIA ON NM,14.9,Energia Elétrica,27.53,Energia Elétrica,83165800.0,20877300000.0,31/12/2019,39475400000.0,1213800000.0,0.88,9.37,1.84,0.06,1.1,15.63,-21.46,4.43,22.4,3.45,0.73,16.5,-30.44,0.39,8.1,48.72,6.18,8.7,0.0,-0.95,10.0,0.0,2.7,11.7,0.0,6.39,1.35,0.0,8.39,1.19,20.5,0.52,54214800000.0,18974900000.0
OIBR3,0.51,ON N1,09/04/2020,OI ON N1,0.44,Telefonia Fixa,1.78,Telefonia Fixa,143207000.0,3036640000.0,31/12/2019,18997600000.0,5954210000.0,0.0,-0.34,-1.51,2.0,0.17,2.96,-36.25,-2.01,23.9,-65.31,0.15,-7.5,-40.7,0.04,-45.2,-31.2,0.49,-2.1,-53.87,-0.08,-2.4,38.27,0.0,-51.0,9.5,3.54,1.52,-73.72,-12.59,1.03,-7.5,0.28,71891800000.0,17650300000.0
OIBR4,0.92,ON N1,09/04/2020,OI ON N1,0.85,Telefonia Fixa,1.79,Telefonia Fixa,3073830.0,5477870000.0,31/12/2019,21438800000.0,5954210000.0,2.22,-0.61,-1.51,-1.08,0.31,2.96,-18.58,-3.63,23.9,-39.47,0.27,-7.5,-25.2,0.08,-45.2,-2.38,0.89,-2.1,-50.39,-0.15,-2.4,53.94,0.0,-51.0,15.38,4.0,1.52,-76.82,-14.21,1.03,-7.5,0.28,71891800000.0,17650300000.0
OMGE3,30.23,ON NM,09/04/2020,OMEGA GER ON NM,20.0,Energia Elétrica,43.0,Energia Elétrica,21286400.0,5138040000.0,31/12/2019,8157580000.0,169965000.0,-2.48,189.25,0.16,11.22,1.82,16.57,-11.09,14.4,39.2,45.48,5.07,35.2,-17.18,0.71,3.2,109.17,5.45,4.9,0.23,-1.64,5.7,6.09,0.0,1.0,0.0,15.0,3.81,0.0,22.86,1.42,69.1,0.14,7262470000.0,2816510000.0
PCAR3,63.3,ON,09/04/2020,PÃO DE AÇÚCAR ON,57.69,Comércio e Distribuição,100.0,Alimentos,83061500.0,16967300000.0,31/12/2019,23207300000.0,268046000.0,-4.09,21.48,2.95,-4.58,1.55,40.81,-3.06,4.43,21.5,-31.8,0.3,6.8,-28.78,0.29,1.5,5.6,-5.23,6.6,1.26,-0.69,10.9,80.77,0.2,7.2,-14.99,4.31,0.86,-24.78,6.06,1.3,-2.2,0.98,57991000000.0,10940000000.0
PMAM3,9.45,ON,09/04/2020,PARANAPANEMA S.A. ON,7.49,Siderurgia e Metalurgia,43.5,Artefatos de Cobre,3407360.0,410168000.0,31/12/2019,2491300000.0,43404000.0,3.5,-16.36,-0.58,-12.98,0.66,14.32,-46.76,-5.93,1.2,-61.4,0.08,-1.3,-67.51,0.11,-0.5,22.23,1.83,-1.8,-11.95,-0.25,-2.1,4.61,0.0,-4.0,-27.62,29.96,1.17,-6.25,-36.02,3.56,-0.2,1.35,3870090000.0,621396000.0
PETR3,16.86,ON,09/04/2020,PETROBRAS ON,11.05,"Petróleo, Gás e Biocombustíveis",33.28,Exploração e/ou Refino e Distribuição,852007000.0,219930000000.0,31/12/2019,537797000000.0,13044500000.0,-3.66,5.48,3.08,19.24,0.74,22.66,-0.35,2.29,40.4,-47.28,0.73,31.8,-47.31,0.24,13.6,27.74,-54.36,10.4,51.54,-0.43,11.0,-0.18,3.0,13.6,97.38,3.38,0.97,-4.55,5.6,1.19,0.9,0.33,926011000000.0,295541000000.0
PETR4,16.82,PN,09/04/2020,PETROBRAS PN,11.29,"Petróleo, Gás e Biocombustíveis",30.81,Exploração e/ou Refino e Distribuição,1987660000.0,219408000000.0,31/12/2019,537275000000.0,13044500000.0,-2.89,5.47,3.08,20.23,0.74,22.66,4.8,2.29,40.4,-40.68,0.73,31.8,-44.27,0.24,13.6,36.87,-54.23,10.4,45.91,-0.43,11.0,8.29,5.6,13.6,121.32,3.37,0.97,-28.15,5.6,1.19,0.9,0.33,926011000000.0,295541000000.0
BRDT3,19.42,ON NM,09/04/2020,PETROBRAS BR ON NM,13.74,"Petróleo, Gás e Biocombustíveis",31.09,Exploração e/ou Refino e Distribuição,194687000.0,22624300000.0,31/12/2019,27037300000.0,1165000000.0,1.68,10.23,1.9,25.21,2.58,7.52,-12.52,10.91,6.3,-8.35,0.24,2.2,-35.42,0.87,2.3,30.51,6.24,8.0,59.12,-4.64,9.8,6.94,13.5,25.2,0.0,10.4,1.42,0.0,13.04,0.77,4.3,3.67,25866000000.0,8766000000.0
PRIO3,24.7,ON,09/04/2020,PETRORIO ON,10.35,"Petróleo, Gás e Biocombustíveis",48.8,Exploração e/ou Refino e Distribuição,141404000.0,3573740000.0,31/12/2019,5085710000.0,144686000.0,-11.75,5.62,4.4,47.9,1.9,12.98,9.83,7.67,39.7,37.15,2.17,28.3,-25.29,0.65,38.7,233.27,-15.16,8.5,21.27,-1.66,10.0,275.23,0.0,33.9,77.24,5.53,0.86,-44.09,10.91,1.17,56.8,0.3,5483790000.0,1878370000.0
PTBL3,2.25,ON,09/04/2020,PORTOBELLO S/A ON,1.78,Construção e Engenharia,6.7,Materiais de Construção,6403090.0,356600000.0,31/12/2019,877129000.0,158489000.0,-1.75,27.16,0.08,0.9,0.97,2.32,-44.99,23.29,32.5,-53.7,0.32,1.4,-58.1,0.19,1.2,6.55,1.48,0.8,-1.75,-0.58,1.1,175.81,0.0,3.6,0.54,12.7,1.39,-52.93,57.29,2.17,1.4,0.61,1836290000.0,367620000.0
POSI3,3.27,ON NM,09/04/2020,POSITIVO INF ON NM,2.2,Computadores e Equipamentos,11.47,Computadores e Equipamentos,17613400.0,463686000.0,31/12/2019,715096000.0,141800000.0,-3.54,28.17,0.12,-6.03,0.88,3.72,-24.83,4.88,25.1,43.42,0.24,5.0,-67.91,0.24,1.1,354.91,1.58,4.9,-27.97,7.57,8.6,12.27,0.0,3.1,63.91,5.13,1.25,-13.33,7.53,1.35,1.9,0.98,1945400000.0,527024000.0
PRNR3,8.85,ON NM,09/04/2020,PRINER ON NM,7.55,Serviços,14.97,Serviços Diversos,5781270.0,336698000.0,31/12/2019,378200000.0,38045000.0,5.86,-55.12,-0.16,9.94,4.53,1.95,-25.0,48.36,14.1,-33.96,0.97,2.0,-33.96,1.41,-3.1,0.0,10.3,2.9,0.0,-9.08,3.8,0.0,0.2,-8.2,0.0,14.18,1.34,0.0,54.32,1.16,21.3,1.46,239541000.0,74328000.0
PFRM3,4.29,ON NM,09/04/2020,PROFARMA ON NM,3.1,Comércio e Distribuição,7.69,Medicamentos,2880600.0,531158000.0,31/12/2019,973493000.0,123813000.0,0.23,44.34,0.1,-0.23,0.53,8.11,-9.68,2.92,15.4,-0.23,0.11,3.8,-33.69,0.17,0.2,64.63,1.02,5.7,-44.88,-6.4,9.6,-8.94,0.0,1.2,70.96,3.13,1.33,-42.24,5.35,0.67,7.2,1.51,3183390000.0,1004630000.0
QUAL3,24.05,ON NM,09/04/2020,QUALICORP ON NM,13.08,Saúde,44.99,"Serviços Médico - Hospitalares, Análises e Diagnósticos",149525000.0,6830540000.0,31/12/2019,7669130000.0,284014000.0,-4.6,17.39,1.38,1.91,4.79,5.02,-15.91,8.67,81.1,78.68,3.41,39.3,-35.18,2.02,19.6,242.88,15.02,23.3,-56.89,-6.65,29.8,69.25,19.9,27.5,51.48,6.56,1.97,-41.13,9.73,0.93,2.8,0.59,3380060000.0,1426840000.0
RADL3,101.96,ON,09/04/2020,RAIADROGASIL ON,63.41,Comércio e Distribuição,128.45,Medicamentos,249890000.0,33686200000.0,31/12/2019,34513400000.0,330386000.0,0.56,43.62,2.34,0.11,8.37,12.18,-11.92,37.01,29.6,52.35,1.92,5.2,-8.57,2.75,4.5,96.69,20.08,7.4,-37.26,-13.94,9.8,51.16,0.6,19.2,73.98,17.95,1.41,41.97,37.92,0.28,17.8,1.43,12248300000.0,4025010000.0
RAPT4,6.66,PN N1,09/04/2020,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,4.85,Material de Transporte,14.92,Material Rodoviário,44803700.0,2302870000.0,31/12/2019,3183380000.0,345776000.0,-0.15,9.3,0.72,22.2,1.36,4.89,-16.85,4.14,24.7,-27.2,0.45,10.9,-50.3,0.36,5.9,49.05,1.02,8.8,30.98,-5.84,14.0,109.67,5.4,14.6,44.54,4.47,2.49,-46.37,5.72,1.69,15.9,0.8,6328110000.0,1692540000.0
RAIL3,19.47,ON NM,09/04/2020,ALL - AMÉRICA LATINA LOGÍSTICA S/A ON NM,14.29,Transporte,26.87,Transporte Ferroviário,290029000.0,30354000000.0,31/12/2019,40110800000.0,1559020000.0,0.46,39.0,0.5,-0.92,3.64,5.35,12.22,14.63,35.0,7.99,4.28,29.3,-25.4,0.92,11.1,53.53,15.87,6.3,31.07,-1.58,6.8,111.24,0.0,9.3,-1.6,10.58,1.63,-53.05,19.33,1.4,16.1,0.22,32832700000.0,8344280000.0
SBSP3,41.78,ON NM,09/04/2020,SABESP ON NM,30.55,Água e Saneamento,66.47,Água e Saneamento,197430000.0,28557000000.0,31/12/2019,39548500000.0,683510000.0,3.42,8.48,4.93,6.83,1.32,31.65,-19.65,4.99,43.6,6.75,1.59,31.8,-31.01,0.61,18.7,96.3,-18.34,12.3,-5.95,-1.43,13.1,23.08,2.8,15.6,53.43,5.27,0.76,14.58,6.91,0.61,10.4,0.39,46457800000.0,21635800000.0
SAPR3,5.13,ON,09/04/2020,SANEPAR ON,4.07,Água e Saneamento,8.0,Água e Saneamento,1099060.0,7752480000.0,31/12/2019,10558900000.0,1511210000.0,-0.39,7.18,0.71,5.77,1.26,4.09,-14.51,4.04,60.6,-18.58,1.64,40.6,-10.29,0.65,22.9,7.74,-64.26,16.1,42.29,-1.69,16.8,118.69,5.2,17.5,65.81,4.68,0.91,-47.74,5.5,0.5,11.7,0.4,11939600000.0,6173910000.0
SAPR4,4.9,PN,09/04/2020,SANEPAR PN,3.98,Água e Saneamento,7.35,Água e Saneamento,14987800.0,7404910000.0,31/12/2019,10211300000.0,1511210000.0,0.41,6.86,0.71,1.87,1.2,4.09,-21.65,3.86,60.6,7.05,1.57,40.6,-29.36,0.62,22.9,109.55,-61.38,16.1,-3.18,-1.61,16.8,14.68,6.0,17.5,260.96,4.53,0.91,-37.41,5.32,0.5,11.7,0.4,11939600000.0,6173910000.0
SAPR11,25.0,UNT N2,09/04/2020,SANEPAR UNT N2,19.86,Água e Saneamento,37.2,Água e Saneamento,72284800.0,7556030000.0,31/12/2019,10362400000.0,1511210000.0,1.21,7.0,3.57,4.82,1.22,20.43,-19.67,3.94,60.6,1.14,1.6,40.6,-25.07,0.63,22.9,74.11,-62.63,16.1,8.29,-1.64,16.8,-0.96,5.7,17.5,0.0,4.59,0.91,0.0,5.4,0.5,11.7,0.4,11939600000.0,6173910000.0
STBP3,4.0,ON NM,09/04/2020,SBPAR ON NM,3.02,Transporte,8.45,Serviços de Apoio e Armazenagem,23025600.0,2679190000.0,31/12/2019,2690150000.0,669798000.0,0.0,174.26,0.02,-10.71,1.98,2.02,-19.19,45.07,25.7,8.11,2.75,6.1,-51.1,0.84,1.6,93.38,7.39,1.9,24.78,-2.15,2.2,41.25,0.1,1.1,-13.04,13.79,2.54,0.0,45.26,0.32,1.2,0.3,3196120000.0,1352380000.0
SMTO3,17.01,ON NM,09/04/2020,SAO MARTINHO ON NM,12.3,Alimentos,29.75,Alimentos Diversos,42042600.0,6021730000.0,31/12/2019,10503700000.0,354011000.0,5.33,10.35,1.64,15.09,1.63,10.44,-8.05,9.27,27.2,-9.71,1.64,17.7,-28.29,0.52,15.9,34.24,2.5,5.6,-3.28,-1.49,6.4,0.55,3.9,15.8,29.05,4.1,2.75,27.19,16.17,1.58,13.4,0.32,11507800000.0,3695000000.0
SHUL4,7.35,PN,09/04/2020,SCHULZ PN,5.91,Máquinas e Equipamentos,16.58,"Motores, Compressores e Outros",5960540.0,656678000.0,31/12/2019,875130000.0,89344000.0,0.55,6.76,1.09,1.24,1.06,6.94,-37.61,7.94,21.8,1.8,0.62,7.8,-27.44,0.47,9.2,49.41,1.27,5.9,47.39,8.13,8.1,66.07,3.6,15.7,12.6,7.06,2.51,-16.89,10.58,0.86,15.9,0.76,1397290000.0,620101000.0
SEER3,16.5,ON NM,09/04/2020,SER EDUCA ON NM,13.03,Diversos,33.46,Educacional,21206600.0,2123910000.0,31/12/2019,1999630000.0,128722000.0,-1.67,15.57,1.06,9.05,1.62,10.17,-25.68,8.31,54.5,-9.24,1.66,20.0,-40.54,0.83,10.7,98.36,8.92,10.0,-48.98,-3.5,11.5,71.05,15.5,10.4,147.38,5.18,1.59,-71.95,7.83,0.14,5.8,0.5,2559160000.0,1308490000.0
CSNA3,7.17,ON,09/04/2020,CSN ON,5.8,Siderurgia e Metalurgia,17.84,Siderurgia,144514000.0,9948550000.0,31/12/2019,34193500000.0,1387520000.0,-3.24,5.56,1.29,2.72,0.98,7.33,-13.61,1.87,32.1,-54.07,0.39,20.9,-49.19,0.2,8.8,70.82,9.0,10.5,13.31,-0.37,12.1,-22.78,13.2,17.6,170.49,5.0,1.1,-17.1,6.43,2.75,13.9,0.5,50869300000.0,10174500000.0
SQIA3,17.2,ON,09/04/2020,SINQIA ON,9.0,Programas e Serviços,29.49,Programas e Serviços,20658200.0,1213440000.0,31/12/2019,932659000.0,70549000.0,5.65,-265.0,-0.06,9.41,2.81,6.12,0.94,-1389.97,33.0,81.63,6.93,-0.5,-29.8,1.96,-2.6,287.66,3.55,-0.1,-4.53,5.93,-0.3,93.57,0.1,-1.1,54.75,64.32,7.63,11.06,-1068.34,0.2,24.7,0.28,619992000.0,431461000.0
SLCE3,20.36,ON NM,09/04/2020,SLC Agricola ON NM,16.12,Agropecuária,25.99,Agricultura,28408900.0,3880510000.0,31/12/2019,4855510000.0,190595000.0,2.21,12.46,1.63,-10.31,1.39,14.61,2.52,7.36,25.8,0.2,1.28,17.3,-17.9,0.56,10.4,24.19,3.71,7.6,64.77,-4.4,10.2,102.68,4.7,11.2,-8.42,7.67,1.51,22.98,9.21,0.67,17.6,0.44,6958130000.0,2784680000.0
SULA11,39.3,UNT N2,09/04/2020,Sul America UNT N2,26.34,Previdência e Seguros,66.76,Seguradoras,211677000.0,15490300000.0,31/12/2019,270494000.0,1182460000.0,-3.56,13.1,3.0,16.27,2.17,18.13,-5.9,16.66,12.8,25.33,0.71,4.3,-34.03,0.55,5.4,115.16,1.57,3.3,57.05,-15.58,8.1,21.32,1.6,16.5,-0.41,0.26,1.95,56.64,0.29,0.24,9.7,0.76,28412500000.0,7145830000.0
SUZB3,35.4,ON,09/04/2020,Suzano Papel ON,24.62,Madeira e Papel,44.94,Papel e Celulose,345985000.0,48188700000.0,31/12/2019,102473000000.0,1361260000.0,-6.74,-17.1,-2.07,-1.09,2.68,13.2,-6.72,22.0,20.3,-19.95,1.85,8.4,-10.79,0.49,-10.8,5.34,6.51,2.2,104.73,-0.79,2.5,36.5,1.3,-15.7,-22.35,15.45,1.65,72.91,46.77,3.54,24.3,0.27,97908200000.0,17972600000.0
TASA4,3.88,PN,09/04/2020,TAURUS ARMAS PN,2.31,Máquinas e Equipamentos,6.57,Armas e Munições,3767440.0,343240000.0,31/12/2019,1057240000.0,88464000.0,-0.77,7.9,0.49,4.86,-1.13,-3.44,3.19,4.53,34.1,6.3,0.34,7.6,-35.23,0.32,4.3,47.9,5.32,7.1,131.43,-0.51,8.3,19.05,0.0,-14.3,59.78,10.78,1.1,-72.46,13.96,-2.46,4.1,0.94,1066440000.0,-304621000.0
TCSA3,0.68,ON NM,09/04/2020,TECNISA ON NM,0.6,Construção e Engenharia,2.19,Construção Civil,38736800.0,500611000.0,31/12/2019,523788000.0,736192000.0,1.49,-1.94,-0.35,-8.11,0.53,1.28,-44.26,-9.58,8.6,-48.09,1.37,-14.3,-62.84,0.29,-71.7,26.21,1.32,-3.0,-29.61,-12.4,-3.8,-3.74,0.0,-27.4,-4.46,-11.83,2.08,-24.32,-10.02,0.37,-27.0,0.21,1718540000.0,940565000.0
TGMA3,17.71,ON NM,09/04/2020,Tegma ON NM,16.07,Transporte,41.27,Transporte Rodoviário,13125900.0,1168910000.0,31/12/2019,1319660000.0,66003000.0,-2.37,6.03,2.94,-14.4,2.03,8.71,-33.17,5.8,21.3,-30.9,0.87,14.9,-52.96,1.19,14.4,44.2,6.48,20.4,45.95,30.18,22.8,166.22,8.9,33.7,63.5,5.81,1.67,-69.58,6.55,0.38,6.9,1.37,985421000.0,575079000.0
VIVT3,50.86,ON,09/04/2020,TELEF BRASIL ON,39.22,Telefonia Fixa,56.66,Telefonia Fixa,5734070.0,86003500000.0,31/12/2019,96434800000.0,1690980000.0,-2.0,17.2,2.96,0.66,1.22,41.67,6.92,12.45,49.9,26.41,1.94,15.6,5.69,0.79,11.3,25.84,94.24,6.4,8.82,-4.48,7.0,20.82,6.3,7.1,11.47,5.41,1.05,-3.87,13.96,0.2,2.1,0.41,108290000000.0,70455600000.0
VIVT4,50.8,PN,09/04/2020,TELEF BRASIL PN,43.37,Telefonia Fixa,61.02,Telefonia Fixa,174130000.0,85902000000.0,31/12/2019,96333300000.0,1690980000.0,-3.2,17.18,2.96,2.89,1.22,41.67,-3.25,12.43,49.9,11.65,1.94,15.6,-10.8,0.79,11.3,32.68,94.13,6.4,3.38,-4.48,7.0,16.83,6.9,7.1,28.03,5.4,1.05,-17.9,13.94,0.2,2.1,0.41,108290000000.0,70455600000.0
TEND3,22.9,ON NM,09/04/2020,Tenda ON NM,16.12,Construção e Engenharia,39.58,Construção Civil,47725800.0,2389480000.0,31/12/2019,2189460000.0,104344000.0,1.28,9.07,2.53,11.06,1.77,12.94,-23.41,6.49,33.2,43.04,1.23,18.9,-24.15,0.69,13.6,93.03,1.24,10.6,63.6,6.29,15.6,36.38,2.6,19.5,0.0,5.47,4.33,0.0,5.94,0.64,23.7,0.56,3478480000.0,1350620000.0
TIMP3,13.31,ON,09/04/2020,TIM PARTICIPAÇÕES S.A. ON,10.26,Telefonia Móvel,17.49,Telefonia Móvel,149583000.0,32223900000.0,31/12/2019,31313700000.0,2421030000.0,-1.7,8.9,1.5,6.99,1.44,9.27,-11.91,9.95,57.2,10.68,1.85,18.6,-14.61,0.8,20.8,36.74,95.72,8.0,-8.25,-3.41,9.7,69.24,3.1,16.1,17.33,3.74,1.04,-40.15,9.67,0.09,1.1,0.43,40348900000.0,22431800000.0
TOTS3,53.75,ON NM,09/04/2020,TOTVS ON NM,38.28,Programas e Serviços,83.72,Programas e Serviços,175564000.0,10354300000.0,31/12/2019,9266800000.0,192638000.0,-1.36,49.35,1.09,15.15,4.18,12.86,-7.84,11.84,67.4,29.59,4.54,38.3,-16.73,2.93,9.2,139.79,7.97,24.7,-8.47,10.94,45.2,25.64,0.8,8.5,-20.08,9.07,2.84,-10.83,10.6,0.18,4.3,0.65,3535930000.0,2477210000.0
TRPL4,19.18,PN N1,09/04/2020,TRANSMISSÃO PAULISTA PN N1,17.41,Energia Elétrica,24.79,Energia Elétrica,56733600.0,12637400000.0,31/12/2019,13266500000.0,658883000.0,0.68,7.17,2.68,1.11,1.07,17.9,-11.2,5.86,71.2,0.89,3.82,65.3,-15.06,0.59,53.8,38.19,3.81,10.0,22.95,-4.35,11.5,8.22,7.9,14.9,45.5,6.09,3.05,17.88,6.15,0.28,10.4,0.15,21599100000.0,11794300000.0
TRIS3,7.4,ON NM,09/04/2020,Trisul ON NM,4.46,Construção e Engenharia,17.1,Construção Civil,27826300.0,1380970000.0,31/12/2019,1198220000.0,186618000.0,5.41,9.86,0.75,2.07,1.32,5.6,-34.86,8.57,35.7,58.8,1.73,20.2,-51.63,0.77,18.9,283.46,1.42,9.0,107.81,1.91,12.6,48.84,1.4,13.4,3.2,7.38,3.15,-5.3,7.44,0.29,23.1,0.44,1798510000.0,1045080000.0
TUPY3,12.54,ON,09/04/2020,TUPY ON,10.49,Material de Transporte,26.77,Material Rodoviário,15700800.0,1807990000.0,31/12/2019,2451940000.0,144178000.0,-2.18,6.48,1.93,-4.42,0.76,16.56,-29.35,4.13,16.2,-29.03,0.35,8.5,-50.43,0.35,5.4,32.39,1.23,8.5,17.1,-13.16,12.0,62.23,1.4,11.7,-33.38,3.21,2.31,17.6,5.6,0.62,12.9,1.01,5124170000.0,2387400000.0
UGPA3,14.24,ON,09/04/2020,ULTRAPAR PARTICIPAÇÕES SA ON,10.69,Holdings Diversificadas,27.46,Holdings Diversificadas,196325000.0,15876400000.0,31/12/2019,26652300000.0,1114920000.0,3.79,42.5,0.34,13.65,1.68,8.48,-7.59,9.1,6.8,-35.51,0.18,2.0,-43.41,0.51,0.5,-1.77,1.61,5.6,-27.28,-2.52,7.5,12.38,3.1,3.9,15.92,9.23,2.9,22.18,15.28,1.69,5.0,2.86,31195500000.0,9458250000.0
UNIP6,23.85,PNB,09/04/2020,UNIPAR PARTICIPAÇÕES S.A. PNB,15.55,Químicos,42.61,Petroquímicos,7273190.0,2332960000.0,31/12/2019,2495820000.0,97818000.0,4.33,13.45,1.77,-0.63,1.58,15.06,3.16,6.09,26.8,-27.4,0.77,12.6,-33.21,0.63,5.7,13.87,5.52,10.3,173.41,-2.27,12.7,278.55,3.0,11.8,65.57,4.41,1.54,-1.61,6.52,0.46,47.6,0.82,3718820000.0,1473050000.0
USIM5,4.33,PNA N1,09/04/2020,USIMINAS PNA N1,3.8,Siderurgia e Metalurgia,11.11,Siderurgia,130788000.0,5425830000.0,31/12/2019,8610930000.0,1253080000.0,-1.37,25.44,0.17,-11.99,0.39,11.21,-34.39,4.68,12.5,-53.54,0.36,7.8,-54.47,0.21,2.5,4.74,0.91,4.4,1.79,-2.84,5.1,121.89,1.8,1.5,169.8,4.0,3.07,-67.4,7.43,0.36,13.3,0.57,26337000000.0,14043400000.0
VALE3,43.28,ON NM,09/04/2020,VALE ON NM,34.1,Mineração,57.36,Minerais Metálicos,1661740000.0,228712000000.0,31/12/2019,258928000000.0,5284470000.0,-0.53,-34.28,-1.26,0.14,1.42,30.56,14.41,3.64,43.6,-15.47,1.54,42.3,-18.8,0.62,-5.9,6.85,17.74,17.0,31.11,-1.59,19.4,62.56,3.3,-4.1,98.26,3.34,1.23,-35.73,4.12,0.37,15.7,0.4,369670000000.0,161480000000.0
VLID3,9.03,ON NM,09/04/2020,VALID ON NM,6.87,Serviços,19.77,Serviços Diversos,10671900.0,643162000.0,31/12/2019,1269890000.0,71225000.0,8.8,11.85,0.76,-2.48,0.59,15.43,-23.93,3.39,22.0,-50.33,0.32,9.4,-46.82,0.26,2.7,-1.91,1.43,7.5,2.18,-2.01,9.4,-15.51,7.8,4.9,-40.33,3.91,1.71,1.33,6.7,0.86,4.2,0.8,2518440000.0,1098860000.0
VVAR3,5.15,ON,09/04/2020,VIAVAREJO ON,3.84,Comércio,16.64,Eletrodomésticos,681540000.0,6695080000.0,31/12/2019,11232100000.0,1300010000.0,2.39,-4.67,-1.1,-2.46,11.58,0.44,-46.24,7.9,28.6,18.66,0.26,3.3,-53.89,0.27,-5.6,154.44,-2.04,3.5,-44.57,-0.59,5.4,121.23,0.0,-247.9,148.61,6.49,0.79,-79.55,13.25,10.21,9.2,1.05,24424000000.0,578000000.0
VULC3,4.12,ON,09/04/2020,VULCABRAS S/A. ON,3.63,"Tecidos, Vestuário e Calçados",9.34,Calçados,5382380.0,1012510000.0,31/12/2019,993404000.0,245756000.0,-0.96,7.08,0.58,1.23,0.93,4.42,-34.5,6.92,34.7,-35.83,0.74,10.8,-55.22,0.75,10.5,29.58,1.57,10.8,-21.98,1.92,11.7,279.17,0.0,13.2,30.43,4.38,5.32,64.29,6.79,0.04,8.1,1.0,1355160000.0,1087140000.0
WEGE3,38.3,ON N1,09/04/2020,WEG SA ON N1,17.78,Máquinas e Equipamentos,49.59,"Motores, Compressores e Outros",350900000.0,80378600000.0,31/12/2019,79273300000.0,2098660000.0,-4.23,49.78,0.77,14.09,9.22,4.15,-3.58,37.36,29.6,109.47,6.02,16.1,10.96,5.12,12.2,100.56,15.25,13.7,-3.84,26.76,18.8,58.22,1.1,18.5,6.26,31.11,2.17,-3.08,36.84,0.26,9.1,0.85,15687600000.0,8717250000.0
WIZS3,9.34,ON NM,09/04/2020,WIZ S.A. ON NM,6.67,Previdência e Seguros,14.91,Corretoras de Seguros,12079100.0,1493530000.0,31/12/2019,1447940000.0,159907000.0,-1.16,6.98,1.34,3.55,7.98,1.17,-18.75,3.88,71.9,35.55,2.19,56.5,-27.61,2.55,32.8,130.34,-12.34,65.7,-37.19,-5.86,77.3,-10.54,19.1,114.3,49.66,3.41,0.53,-29.09,3.76,0.0,17.7,1.16,586297000.0,187057000.0
YDUQ3,27.05,ON,09/04/2020,YDUQS PART ON,20.62,Diversos,56.6,Educacional,169958000.0,8360860000.0,31/12/2019,9403400000.0,309089000.0,-1.46,12.94,2.09,22.01,2.7,10.04,-32.51,9.44,57.3,-1.17,2.35,24.8,-43.05,1.52,18.1,103.69,10.44,16.1,-22.47,-8.95,18.5,111.53,1.9,20.8,27.99,7.54,2.19,-35.67,10.62,0.53,5.3,0.65,5512490000.0,3102350000.0
